country,year,gdp
Albania,2000,3632043907.97733
Algeria,2000,54790245600.5846
Andorra,2000,1434429703.33518
Angola,2000,9129594818.60749
Antigua and Barbuda,2000,830158768.888889
Argentina,2000,284203750000
Armenia,2000,1911563665.39006
Aruba,2000,1873452513.96648
Australia,2000,415446209885.072
Austria,2000,196799778883.361
Azerbaijan,2000,5272617196.04517
"Bahamas, The",2000,6327552000
Bahrain,2000,9062906914.89362
Bangladesh,2000,53369787318.6245
Barbados,2000,3121500000
Belarus,2000,12736856827.9847
Belgium,2000,237904919845.218
Belize,2000,832072450
Benin,2000,2569186642.86999
Bermuda,2000,3480219000
Bhutan,2000,439158233.199822
Bolivia,2000,8397912509.09679
Bosnia and Herzegovina,2000,5505984455.95855
Botswana,2000,5788329609.15755
Brazil,2000,655421153320.579
Brunei Darussalam,2000,6001153306.2645
Bulgaria,2000,13148099185.2305
Burkina Faso,2000,2628920056.10098
Burundi,2000,870486065.883137
Cabo Verde,2000,539227277.626411
Cambodia,2000,3654031716.26881
Cameroon,2000,10083937740.0624
Canada,2000,742293448252.643
Central African Republic,2000,914500299.097034
Chad,2000,1385058161.76746
Channel Islands,2000,6439703434.71024
Chile,2000,77860932151.8471
China,2000,1211346869605.24
Colombia,2000,99886577330.7271
Comoros,2000,203846427.738737
"Congo, Dem. Rep.",2000,19088046305.7971
"Congo, Rep.",2000,3219910666.03357
Costa Rica,2000,14949514585.1585
Cote d'Ivoire,2000,10717022462.6859
Croatia,2000,21774273832.1031
Cuba,2000,30565400000
Cyprus,2000,10183317624.8822
Czech Republic,2000,61649492816.5201
Denmark,2000,164158800460.219
Djibouti,2000,551230861.856505
Dominica,2000,335845814.814815
Dominican Republic,2000,23996063503.0497
Ecuador,2000,18327764882.4412
"Egypt, Arab Rep.",2000,99838543960.0763
El Salvador,2000,13134100000
Equatorial Guinea,2000,1045998496.43872
Eritrea,2000,706370815.584416
Estonia,2000,5685774808.80862
Ethiopia,2000,8242392103.68061
Faroe Islands,2000,1062339943.83343
Fiji,2000,1684109743.49338
Finland,2000,125539893126.958
France,2000,1368438363736.87
French Polynesia,2000,3447543137.9415
Gabon,2000,5067865320.7979
"Gambia, The",2000,782915402.421095
Georgia,2000,3057453482.55826
Germany,2000,1949953934033.54
Ghana,2000,4983024408.14828
Greece,2000,130133845771.144
Greenland,2000,1068030829.75591
Grenada,2000,520044370.37037
Guatemala,2000,19288926545.3759
Guinea,2000,2995360969.16199
Guinea-Bissau,2000,370173851.946119
Guyana,2000,712667896.727512
Haiti,2000,3953839593.78427
Honduras,2000,7103529494.37412
"Hong Kong SAR, China",2000,171668164082.555
Hungary,2000,47310623887.2319
Iceland,2000,8946079678.43696
India,2000,462146799336.77
Indonesia,2000,175702220055.465
"Iran, Islamic Rep.",2000,109591707802.216
Ireland,2000,99853528745.1631
Isle of Man,2000,1563667799.61578
Israel,2000,132339311284.428
Italy,2000,1141759996314.72
Jamaica,2000,8929375580.31569
Japan,2000,4887519660744.86
Jordan,2000,8460424400.56418
Kazakhstan,2000,18291990619.137
Kenya,2000,12705357103.0056
Kiribati,2000,67254174.3970315
"Korea, Rep.",2000,561633125839.994
Kosovo,2000,1849196082.05507
Kuwait,2000,37711864406.7797
